mtnorder_id|mtnorder_type|mtnorder_no|mtnorder_parent|notifictn_no|notifictn_sn|confirmtn_no|mtnorder_busno|mtnorder_desc|depot_id|loc_code|main_plant|functional_loc|plant_section|system_status|user_status|control_key|std_textkey|oper_activity|oper_shorttext|oper_workcenter|total_cost|created_by|created_on|dt_created|dt_modified|material_number|material_description|material_group|quantity|plan_start_date|plan_start_time|plan_finish_date|plan_finish_time
|YPM1|4000706817||12514598||7500931||Power Supply Half-Year Servicing RSV004||RSD|0805|RSV004||CRTD MANC NMAT NTUP PRC|3PLN|RINT||0010|Half-Yearly 2-Car Power Supply Servicing|RSDM|0.0|IP1020250922|2025-09-22 01:01:27|2026-02-12 10:09:05|0000-00-00||||1.0|2025-10-10|08:30:00|2025-10-10|17:30:00
|YPM1|4000706817||12514598||7500932||Power Supply Half-Year Servicing RSV004||RSD|0805|RSV004||CRTD MANC NMAT NTUP PRC|3PLN|RINT||0020|Power Supply Half-Year Servicing RSV004|RSDM|0.0|IP1020250922|2025-09-22 01:01:27|2026-02-12 10:09:05|0000-00-00||||1.0|2025-10-10|08:30:00|2025-10-10|17:30:00
|YPM1|4000706818||12514599||7500933||Power Supply Half-Year Servicing RSV006||RSD|0805|RSV006||CRTD MANC NMAT NTUP PRC|3PLN|RINT||0010|Half-Yearly 2-Car Power Supply Servicing|RSDM|0.0|IP1020250922|2025-09-22 01:01:39|2026-02-12 10:09:05|0000-00-00||||1.0|2025-10-10|08:30:00|2025-10-10|17:30:00
|YPM1|4000706818||12514599||7500934||Power Supply Half-Year Servicing RSV006||RSD|0805|RSV006||CRTD MANC NMAT NTUP PRC|3PLN|RINT||0020|Power Supply Half-Year Servicing RSV006|RSDM|0.0|IP1020250922|2025-09-22 01:01:39|2026-02-12 10:09:05|0000-00-00||||1.0|2025-10-10|08:30:00|2025-10-10|17:30:00
|YCM1|4000709260||12518459||7513897||023AS-Guide wheel tire worn||RSD|0805|RSV027-CAR27-BOG-05||REL  NMAT PRC  SETC|2ACK|RINT||0010|023AS-Guide wheel tire worn|RSDM|0.0|10007066|2025-10-01 00:17:20|2026-02-12 10:09:05|0000-00-00||||1.0|2025-09-30|17:30:00|2025-09-30|17:30:00
|YCM1|4000709501||12519200||7514330||ICA 3 RST Door 3 Door fault [08]||RSD|0805|RSV025-CAR19||REL  NMAT PRC  SETC|2ACK|RINT||0010||RSDM|0.0|10007192|2025-10-01 11:09:32|2026-02-12 10:09:05|2025-10-02 15:02:29||||1.0|2025-09-30|17:30:00|2025-09-30|17:30:00
|YCM1|4000709981||12522674||7515700||021HS-Bogie assembly load tire worn||RSD|0805|RSV029-CAR36-BOG-08||REL  NMAT PRC  SETC|2ACK|RINT||0010|021HS-Bogie assembly load tire worn|RSDM|0.0|10007196|2025-10-01 18:48:02|2026-02-12 10:09:05|2025-10-04 17:03:01||||1.0|2025-09-30|17:30:00|2025-09-30|17:30:00
|YCM1|4000710006||12522119||7516374||ECA 4 HVAC Supply Fan 1-2 High Speed Fau||RSD|0805|RSV028-CAR29||REL  NMAT PRC  SETC|2ACK|RINT||0010||RSDM|0.0|10007252|2025-10-02 00:36:18|2026-02-12 10:09:05|2025-10-02 14:56:27||||1.0|2025-09-30|17:30:00|2025-09-30|17:30:00
|YPM1|4000711911||12524528||7527124||PM Inspection for Titiwangsa TPSS||WES|0805|PRAL-MRL-WS-TPS-MRLTTZ||REL  MANC NMAT PRC  SETC|3PLN|RINT||0010|Weekly TPSS Inspection|WS10|0.0|10007223|2025-10-10 15:52:02|2026-02-12 10:09:05|2025-10-17 10:29:20||||1.0|2025-10-14|14:07:30|2025-10-14|17:30:00
|YPM1|4000711912||12524527||7527125||PM Inspection for Medan Tuanku Station||WES|0805|PRAL-MRL-WS-STN-MRLMKU||REL  PRT  MANC NMAT PRC  SETC|3PLN|RINT||0010|Weekly Station Inspection|WS10|0.0|10007223|2025-10-10 15:52:18|2026-02-12 10:09:05|2025-10-17 10:29:35||||1.0|2025-10-14|24:00:00|2025-10-14|24:00:00
