workorder_no,user_status,work_centre,notification_no,work_request,system_status,created_by,maintenance_type,maint_plan,functional_location,oper_activity,oper_shorttext,loc_code,created_on,dt_created,quantity,plan_start,plan_end,responses,filename,form_template
4000441929,3PLN,WS10,11887485.0,PM Inspection for Chow Kit Station,NOPR ORAS,IP1020211228,YPM1,805,PRAL-MRL-WS-STN-MRLCIT Station Chow Kit,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""CIT"", ""inspection_date"": ""01/05/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": null, ""station.main_switch_board.cos"": 0.93, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 3, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""0-45"", ""station.essential_main.cos"": ""0.93"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 9747, ""genset.diesel_engine.running_hour.after"": 9750, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 230, ""genset.amf_board.output_service.phase_to_neutral.yn"": 230, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 29, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""10:00:00"", ""genset.inspection_time.end_time"": ""11:00:00"", ""technician_name"": ""NAZRUL SHAH"", ""technician_id"": ""11858"", ""technician_date"": ""03/01/2022"", ""supervisor_name"": ""MOHD IRZAN"", ""supervisor_id"": ""7094"", ""supervisor_date"": ""03/01/2022"", ""genset.remarks"": ""OK""}",PS_PM_WEK_StationInspection_4000441929.pdf,StationInspection
4000442386,3PLN,WS10,11887913.0,MRWSU001 1003 Inspection - 1 Week Interval,NOPR ORAS,IP1020211229,YPM1,805,PRAL-MRL-WS-STN-MRLMKU Station Medan Tuanku,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""MKU"", ""inspection_date"": """", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 50, ""station.main_switch_board.cos"": 0.86, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": null, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""40"", ""station.essential_main.cos"": ""0.86"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 22535, ""genset.diesel_engine.running_hour.after"": 22588, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 240, ""genset.amf_board.output_service.phase_to_neutral.yn"": 240, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 28, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""09:00:00"", ""genset.inspection_time.end_time"": ""10:00:00"", ""technician_name"": ""SHAZWAN"", ""technician_id"": ""12660"", ""technician_date"": """", ""supervisor_name"": ""ALI AKHBAR"", ""supervisor_id"": ""7013"", ""supervisor_date"": """", ""genset.remarks"": ""Ok""}",PS_PM_WEK_StationInspection_4000442386.pdf,StationInspection
4000442388,3PLN,WS10,11887982.0,PM Inspection for Bukit Bintang Station,NOPR ORAS,IP1020211230,YPM1,805,PRAL-MRL-WS-STN-MRLBNG Station Bukit Bintang,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""BNG"", ""inspection_date"": ""01/05/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 50, ""station.main_switch_board.cos"": 0.86, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 1, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""40"", ""station.essential_main.cos"": ""0.86"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 11729, ""genset.diesel_engine.running_hour.after"": 11732, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 240, ""genset.amf_board.output_service.phase_to_neutral.yn"": 240, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 28, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""10:00:00"", ""genset.inspection_time.end_time"": ""11:00:00"", ""technician_name"": """", ""technician_id"": """", ""technician_date"": ""05/01/2022"", ""supervisor_name"": """", ""supervisor_id"": """", ""supervisor_date"": ""05/01/2022"", ""genset.remarks"": ""ok""}",PS_PM_WEK_StationInspection_4000442388.pdf,StationInspection
4000442389,3PLN,WS10,11888113.0,PM Inspection for Raja Chulan Station,NOPR ORAS,IP1020211230,YPM1,805,PRAL-MRL-WS-STN-MRLRAN Station Raja Chulan,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""RAN"", ""inspection_date"": ""01/05/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 50, ""station.main_switch_board.cos"": 0.86, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 1, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""40"", ""station.essential_main.cos"": ""0.86"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 12436, ""genset.diesel_engine.running_hour.after"": 12439, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 240, ""genset.amf_board.output_service.phase_to_neutral.yn"": 240, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 28, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""09:00:00"", ""genset.inspection_time.end_time"": ""10:00:00"", ""technician_name"": """", ""technician_id"": """", ""technician_date"": ""05/01/2022"", ""supervisor_name"": """", ""supervisor_id"": """", ""supervisor_date"": ""05/01/2022"", ""genset.remarks"": ""OK""}",PS_PM_WEK_StationInspection_4000442389.pdf,StationInspection
4000443598,3PLN,WS10,11891012.0,PM Inspection for Maharaja Lela Station,NOPR ORAS,IP1020220101,YPM1,805,PRAL-MRL-WS-STN-MRLMAH Station Maharajalela,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""MAH"", ""inspection_date"": ""01/07/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": null, ""station.main_switch_board.cos"": 0.91, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 3, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""0-45"", ""station.essential_main.cos"": ""0-91"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 22042, ""genset.diesel_engine.running_hour.after"": 22045, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 230, ""genset.amf_board.output_service.phase_to_neutral.yn"": 230, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 29, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""09:00:00"", ""genset.inspection_time.end_time"": ""10:00:00"", ""technician_name"": ""NAZRUL SHAH"", ""technician_id"": ""11858"", ""technician_date"": ""07/01/2022"", ""supervisor_name"": ""ABDUL TOLIB"", ""supervisor_id"": ""7099"", ""supervisor_date"": ""07/01/2022"", ""genset.remarks"": ""OK""}",PS_PM_WEK_StationInspection_4000443598.pdf,StationInspection
4000443599,3PLN,WS10,11891013.0,PM Inspection for Tun Sambanthan Station,NOPR ORAS,IP1020220101,YPM1,805,PRAL-MRL-WS-STN-MRLTUN Station Tun Sambanthan,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""TUN"", ""inspection_date"": ""01/07/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 0.4, ""station.main_switch_board.cos"": 0.93, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 3, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""0.4"", ""station.essential_main.cos"": ""0.93"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 11541, ""genset.diesel_engine.running_hour.after"": 11544, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 230, ""genset.amf_board.output_service.phase_to_neutral.yn"": 230, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 29, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""10:00:00"", ""genset.inspection_time.end_time"": ""11:00:00"", ""technician_name"": ""NAZRUL SHAH"", ""technician_id"": ""11858"", ""technician_date"": ""07/01/2022"", ""supervisor_name"": ""ABDUL TOLIB"", ""supervisor_id"": ""7099"", ""supervisor_date"": ""07/01/2022"", ""genset.remarks"": ""OK""}",PS_PM_WEK_StationInspection_4000443599.pdf,StationInspection
4000443602,3PLN,WS10,11892698.0,PM Inspection for KL Sentral Station,NOPR ORAS,IP1020220102,YPM1,805,PRAL-MRL-WS-STN-MRLKLS Station KL Sentral,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""KLS"", ""inspection_date"": ""01/08/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 0.5, ""station.main_switch_board.cos"": 0.94, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 4, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""0.50"", ""station.essential_main.cos"": ""0.94"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 9951, ""genset.diesel_engine.running_hour.after"": 9954, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""AUTO"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 240, ""genset.amf_board.output_service.phase_to_neutral.yn"": 240, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 29, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""09:00:00"", ""genset.inspection_time.end_time"": ""10:00:00"", ""technician_name"": ""SHAZWAN"", ""technician_id"": ""12660"", ""technician_date"": ""08/01/2022"", ""supervisor_name"": ""MAHADI"", ""supervisor_id"": ""7091"", ""supervisor_date"": ""08/01/2022"", ""genset.remarks"": ""OK""}",PS_PM_WEK_StationInspection_4000443602.pdf,StationInspection
4000443604,3PLN,WS10,11893174.0,PM Inspection for Workshop Building,NOPR ORAS,IP1020220103,YPM1,805,PRAL-MRL-WS-BLD-MRLWSP Workshop,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""DEPOH BOOKUA"", ""inspection_date"": ""01/09/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 0.1, ""station.main_switch_board.cos"": 0.94, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 3, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""0.1"", ""station.essential_main.cos"": ""0.94"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": """", ""genset.diesel_engine.running_hour.before"": 11636, ""genset.diesel_engine.running_hour.after"": 11639, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MAX"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 230, ""genset.amf_board.output_service.phase_to_neutral.yn"": 230, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 29, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""09:00:00"", ""genset.inspection_time.end_time"": ""10:30:00"", ""technician_name"": ""MAHADI"", ""technician_id"": ""7091"", ""technician_date"": ""09/01/2022"", ""supervisor_name"": ""MOHD IRZAN"", ""supervisor_id"": ""7094"", ""supervisor_date"": ""09/01/2022"", ""genset.remarks"": """"}",PS_PM_WEK_StationInspection_4000443604.pdf,StationInspection
4000443607,3PLN,WS10,11893492.0,PM Inspection for Titiwangsa,NOPR ORAS,IP1020220104,YPM1,805,PRAL-MRL-WS-STN-MRLTSA Station Titiwangsa,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""TSA"", ""inspection_date"": ""01/10/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 50, ""station.main_switch_board.cos"": 0.86, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 1, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""40"", ""station.essential_main.cos"": ""0.86"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""OK"", ""genset.diesel_engine.running_hour.before"": 19496, ""genset.diesel_engine.running_hour.after"": 19499, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""TEST"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 240, ""genset.amf_board.output_service.phase_to_neutral.yn"": 240, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 28, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""10:00:00"", ""genset.inspection_time.end_time"": ""11:00:00"", ""technician_name"": """", ""technician_id"": """", ""technician_date"": ""10/01/2022"", ""supervisor_name"": ""ALI AKHBAR"", ""supervisor_id"": ""7013"", ""supervisor_date"": ""10/01/2022"", ""genset.remarks"": ""OK""}",PS_PM_WEK_StationInspection_4000443607.pdf,StationInspection
4000443608,3PLN,WS10,11893519.0,PM Inspection for Bukit Nanas Station,NOPR ORAS,IP1020220105,YPM1,805,PRAL-MRL-WS-STN-MRLBAS Station Bukit Nanas,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,,"{""station_location"": ""BAS"", ""inspection_date"": ""01/04/2022"", ""station.main_switch_board.voltmeter"": 415, ""station.main_switch_board.ammeter"": 0.5, ""station.main_switch_board.cos"": 0.86, ""station.main_switch_board.indicator_light_r_y_b"": ""NORMAL"", ""station.main_switch_board.capacitor_bank"": 4, ""station.essential_main.voltmeter"": 415, ""station.essential_main.ammeter"": ""0.5"", ""station.essential_main.cos"": ""0.86"", ""station.essential_main.indicator_light"": ""NORMAL"", ""station.earthing_system.envelope_area"": ""NORMAL"", ""station.earthing_system.msb_room"": ""NORMAL"", ""station.earthing_system.genset_room"": ""NORMAL"", ""station.earthing_system.chamber_condition"": ""NORMAL"", ""station.remarks"": ""AL"", ""genset.diesel_engine.running_hour.before"": 16640, ""genset.diesel_engine.running_hour.after"": 16644, ""genset.diesel_engine.engine_service.previous_date"": """", ""genset.diesel_engine.engine_oil_level"": ""MAX"", ""genset.diesel_engine.diesel_tank"": ""MEDIUM"", ""genset.diesel_engine.engine_test_run"": ""OFF LOAD"", ""genset.amf_board.selector_sw_position"": ""AUTO"", ""genset.amf_board.output_service.phase_to_phase_reading.ry"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.yb"": 415, ""genset.amf_board.output_service.phase_to_phase_reading.rb"": 415, ""genset.amf_board.output_service.phase_to_neutral.rn"": 240, ""genset.amf_board.output_service.phase_to_neutral.yn"": 240, ""genset.amf_board.ammeter"": """", ""genset.amf_board.indicator_light"": ""NORMAL"", ""genset.battery_and_battery_charger.battery_voltage"": 29, ""genset.battery_and_battery_charger.battery_terminal"": ""TIGHT"", ""genset.battery_and_battery_charger.battery_electrolyte_level"": ""HIGH"", ""genset.battery_and_battery_charger.battery_charger_card"": ""NORMAL"", ""genset.battery_and_battery_charger.lighting"": ""NORMAL"", ""genset.inspection_time.start_time"": ""10:00:00"", ""genset.inspection_time.end_time"": ""11:00:00"", ""technician_name"": ""SHAZWAN"", ""technician_id"": ""12660"", ""technician_date"": ""11/01/2022"", ""supervisor_name"": ""ABDUL TOLIB"", ""supervisor_id"": ""7099"", ""supervisor_date"": ""11/01/2022"", ""genset.remarks"": ""al""}",PS_PM_WEK_StationInspection_4000443608.pdf,StationInspection
