workorder_no,user_status,work_centre,notification_no,work_request,system_status,created_by,maintenance_type,maint_plan,functional_location,oper_activity,oper_shorttext,loc_code,created_on,dt_created,quantity,plan_start,plan_end
4000410420,,RSDM,11808988,Preventive Maintenance for RSV021(WEK1),NOPR NOPT ORAS,10011808,YPM1,0805,RSV021 Revenue Service Vehicle 21,,,RSD,,2026-04-09 13:31:44,0.0,2021-10-07 22:15:00,2021-11-07 03:10:00
4000436996,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY MECH. INSP. BOGIE DROP PIT 1,TNM,2022-01-24 00:00:00,2026-04-09 13:31:44,0.0,,
4000436997,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION OVERHEAD CRANE 1,TNM,2022-01-06 00:00:00,2026-04-09 13:31:44,0.0,,
4000436998,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION HYDRAULIC PRESS,TNM,2022-01-05 00:00:00,2026-04-09 13:31:44,0.0,,
4000437236,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION TRAVERSER,TNM,2022-01-05 00:00:00,2026-04-09 13:31:44,0.0,,
4000437237,6CLS,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION TRAVERSER,TNM,2022-01-10 00:00:00,2026-04-09 13:31:44,0.0,,
4000437761,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION CENTER LATHE MACHINE,TNM,2022-01-03 00:00:00,2026-04-09 13:31:44,0.0,,
4000441582,,RSDM,11886564,Preventive Maintenance for RSV023(WEK2),NOPR ORAS,10007120,YPM1,0805,RSV023 Revenue Service Vehicle 23,,,RSD,,2026-04-09 13:31:44,0.0,,
4000441714,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION SW 7,TNM,2022-01-07 00:00:00,2026-04-09 13:31:44,0.0,,
4000441715,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION SW 1,TNM,2022-01-01 00:00:00,2026-04-09 13:31:44,0.0,,
4000441751,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY LUBRICATION BOGIE DROP PIT 1,TNM,2022-01-13 00:00:00,2026-04-09 13:31:44,0.0,,
4000441759,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 2,TNM,2022-01-16 00:00:00,2026-04-09 13:31:44,0.0,,
4000441784,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 3,TNM,2022-01-17 00:00:00,2026-04-09 13:31:44,0.0,,
4000441786,,RSDM,11887974,Preventive Maintenance for RSV021(WEK3),NOPR ORAS,10007120,YPM1,0805,RSV021 Revenue Service Vehicle 21,,,RSD,,2026-04-09 13:31:44,0.0,2022-09-01 22:30:00,2022-10-01 02:45:00
4000441928,3PLN,WS10,11886867,PM Inspection for Brickfields TPSS,NOPR ORAS,IP1020211227,YPM1,0805,PRAL-MRL-WS-TPS-MRLBFZ TPSS - Brickfields,,,,,2026-04-09 13:31:44,0.0,,
4000441929,3PLN,WS10,11887485,PM Inspection for Chow Kit Station,NOPR ORAS,IP1020211228,YPM1,0805,PRAL-MRL-WS-STN-MRLCIT Station Chow Kit,0010,Weekly Station Inspection,,,2026-04-09 13:31:44,0.0,,
4000442018,,RSDM,11887904,Preventive Maintenance for RSV025(WEK2),NOPR NOPT ORAS,10007120,YPM1,0805,RSV025 Revenue Service Vehicle 25,,,RSD,,2026-04-09 13:31:44,0.0,2022-06-01 10:00:00,2022-07-01 04:30:00
4000442040,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION SW 4,TNM,2022-01-04 00:00:00,2026-04-09 13:31:44,0.0,,
4000442041,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 4,TNM,2022-01-18 00:00:00,2026-04-09 13:31:44,0.0,,
4000442121,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION SW 5,TNM,2022-01-05 00:00:00,2026-04-09 13:31:44,0.0,,
4000442122,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 5,TNM,2022-01-19 00:00:00,2026-04-09 13:31:44,0.0,,
4000442299,,RSDM,11888391,Preventive Maintenance for RSV022(WEK3),NOPR ORAS,10007120,YPM1,0805,RSV022 Revenue Service Vehicle 22,,,RSD,,2026-04-09 13:31:44,0.0,2022-03-01 22:35:00,2022-04-01 03:10:00
4000442306,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION BOGIE TEST JIG,TNM,2022-01-15 00:00:00,2026-04-09 13:31:44,0.0,,
4000442307,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION PEDESTAL DRILL,TNM,2022-01-11 00:00:00,2026-04-09 13:31:44,0.0,,
4000442308,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION SW 6,TNM,2022-01-06 00:00:00,2026-04-09 13:31:44,0.0,,
4000442309,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 6,TNM,2022-01-03 00:00:00,2026-04-09 13:31:44,0.0,,
4000442319,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 1,TNM,2022-01-15 00:00:00,2026-04-09 13:31:44,0.0,,
4000442325,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION SW 3,TNM,2022-01-03 00:00:00,2026-04-09 13:31:44,0.0,,
4000442334,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY LUBRICATION SW 8,TNM,2022-01-08 00:00:00,2026-04-09 13:31:44,0.0,,
4000442335,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 7,TNM,2022-01-21 00:00:00,2026-04-09 13:31:44,0.0,,
4000442337,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-SWT Switch,0010,MONTHLY MECHANICAL INSPECTION SW 8,TNM,2022-01-22 00:00:00,2026-04-09 13:31:44,0.0,,
4000442340,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION TIRE CHANGING MACHINE,TNM,2022-01-02 00:00:00,2026-04-09 13:31:44,0.0,,
4000442341,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION OVERHEAD CRANE 3,TNM,2022-01-08 00:00:00,2026-04-09 13:31:44,0.0,,
4000442342,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION OVERHEAD CRANE 2,TNM,2022-01-08 00:00:00,2026-04-09 13:31:44,0.0,,
4000442343,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION OVERHEAD CRANE 4,TNM,2022-01-09 00:00:00,2026-04-09 13:31:44,0.0,,
4000442344,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION PEDESTAL GRINDER,TNM,2022-01-12 00:00:00,2026-04-09 13:31:44,0.0,,
4000442346,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY LUBRICATION BOGIE DROP PIT 2,TNM,2022-01-14 00:00:00,2026-04-09 13:31:44,0.0,,
4000442349,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-TMV Work car,0010,MONTHLY INSPECTION TMV 2,TNM,2022-01-27 00:00:00,2026-04-09 13:31:44,0.0,,
4000442350,6CLS,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY INSPECTION TRAIN WASH PLANT,TNM,2022-01-28 00:00:00,2026-04-09 13:31:44,0.0,,
4000442352,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,MONTHLY MECH. INSP. BOGIE DROP PIT 2,TNM,2022-01-25 00:00:00,2026-04-09 13:31:44,0.0,,
4000442355,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 1 & 2,TNM,2022-01-03 00:00:00,2026-04-09 13:31:44,0.0,,
4000442356,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 3 & 4,TNM,2022-01-03 00:00:00,2026-04-09 13:31:44,0.0,,
4000442357,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 1 & 2,TNM,2022-01-10 00:00:00,2026-04-09 13:31:44,0.0,,
4000442358,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 3 & 4,TNM,2022-01-10 00:00:00,2026-04-09 13:31:44,0.0,,
4000442359,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 1 & 2,TNM,2022-01-17 00:00:00,2026-04-09 13:31:44,0.0,,
4000442360,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 3 & 4,TNM,2022-01-17 00:00:00,2026-04-09 13:31:44,0.0,,
4000442362,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 1 & 2,TNM,2022-01-24 00:00:00,2026-04-09 13:31:44,0.0,,
4000442363,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 3 & 4,TNM,2022-01-24 00:00:00,2026-04-09 13:31:44,0.0,,
4000442364,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 1 & 2,TNM,2022-01-31 00:00:00,2026-04-09 13:31:44,0.0,,
4000442365,3PLN,TNM1,,,,,YPM1,0805,PRAL-MRL-TN-DPT Brickfields Depot,0010,WEEKLY INSPECTION AIR COMPRESSOR 3 & 4,TNM,2022-01-31 00:00:00,2026-04-09 13:31:44,0.0,,
4000442377,,RSDM,11888711,Preventive Maintenance for RSV001(WEK2),NOPR ORAS,10007120,YPM1,0805,RSV001 Revenue Service Vehicle 01,,,RSD,,2026-04-09 13:31:44,0.0,,
4000442378,,RSDM,11888712,Preventive Maintenance for RSV003(WEK1),NOPR ORAS,10007120,YPM1,0805,RSV003 Revenue Service Vehicle 03,,,RSD,,2026-04-09 13:31:44,0.0,,
4000442380,,RSDM,11888714,Preventive Maintenance for RSV011(WEK3),NOPR ORAS,10007120,YPM1,0805,RSV011 Revenue Service Vehicle 11,,,RSD,,2026-04-09 13:31:44,0.0,,
4000442384,,RSDM,11888718,Preventive Maintenance for RSV026(WEK1),NOPR ORAS,10007120,YPM1,0805,RSV026 Revenue Service Vehicle 26,,,RSD,,2026-04-09 13:31:44,0.0,2022-02-01 22:50:00,2022-03-01 02:45:00
