work_order_no|notification_no|created_on|date_closed|station|system|sub_system|sub_sub_system|root_cause|check_system|check_sub_system|check_sub_sub_system|check_root_cause
4000445168|11896478|2022-01-15 06:04:29|2022-01-15 06:04:29|BFZ|Others|Others|Others|Others|False|False|False|False
4000445166|11896848|2022-01-16 05:55:39|2022-01-16 05:55:39|HAH|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Fan problem|True|True|True|True
4000452440|11912924|2022-02-27 05:12:57|2022-02-27 05:12:57|BFZ|CTC System|KVM Switch|Power Adapter|System intermittent|True|True|True|True
4000452439|11913141|2022-02-28 08:42:29|2022-02-28 08:42:29|MKU|CTC System|KVM Switch|VGA Cable|System intermittent|True|True|True|True
4000454634|11918824|2022-03-06 07:38:44|2022-03-06 07:38:44|HAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000455272|11921496|2022-03-15 16:43:42|2022-03-15 16:43:42|BFZ|PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|PLC hang|True|True|True|True
4000464044|11944552|2022-05-03 07:38:47|2022-05-03 07:38:47|BFZ|Others|Others|Others|Others|False|False|False|False
4000465234|11946697|2022-05-13 07:27:24|2022-05-13 07:27:24|MAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000465232|11947317|2022-05-15 06:47:34|2022-05-15 06:47:34|MAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000472278|11962551|2022-06-19 20:52:15|2022-06-19 20:52:15|BFZ|CTC System|KVM Switch|Power Adapter|Train TAG problem|True|True|True|True
4000472588|11963251|2022-06-21 13:26:55|2022-06-21 13:26:55|HAH|CTC System|Power Supply|Power CTC Rack|System intermittent|True|True|True|True
4000477860|11972726|2022-07-06 13:44:54|2022-07-06 13:44:54|BFZ|CTC System|KVM Switch|Power Adapter|Train TAG problem|True|True|True|True
4000475921|11972898|2022-07-07 08:11:13|2022-07-07 08:11:13|CIT|CTC System|KVM Switch|Power Adapter|Train TAG problem|True|True|True|True
4000477859|11975396|2022-07-16 09:58:21|2022-07-16 09:58:21|BFZ|CTC System|KVM Switch|Power Adapter|Train TAG problem|True|True|True|True
4000477856|11977064|2022-07-20 05:18:08|2022-07-20 05:18:08|BFZ|Others|Others|Others|Others|False|False|False|False
4000478650|11978484|2022-07-25 06:52:36|2022-07-25 06:52:36|BFZ|CTC System|KVM Switch|KVM converter|System intermittent|True|True|True|True
4000485152|11987613|2022-08-11 22:20:38|2022-08-11 22:20:38|BNG|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000481621|11987614|2022-08-11 22:23:44|2022-08-11 22:23:44|MAH|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Fan problem|True|True|True|True
4000482076|11988027|2022-08-12 22:22:55|2022-08-12 22:22:55|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Fan problem|True|True|True|True
4000482075|11988256|2022-08-13 22:10:38|2022-08-13 22:10:38|MAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000482073|11988503|2022-08-14 17:23:04|2022-08-14 17:23:04|MAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000483116|11989622|2022-08-17 11:24:46|2022-08-17 11:24:46|TUN|VIDEO WALL|DISPLAY VIEW MONITORING|PROJECTOR (OCC)|View blur|True|True|True|True
4000483115|11990011|2022-08-18 10:35:43|2022-08-18 10:35:43|MAH|PABX|NEAX® 2000 IPS|DIGITAL CARD|Intermittent|True|True|True|True
4000483948|11991359|2022-08-22 12:18:17|2022-08-22 12:18:17|KLS|PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|HMI hang|True|True|True|True
4000484652|11992115|2022-08-24 22:41:44|2022-08-24 22:41:44|BNG|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000484653|11992112|2022-08-24 22:36:20|2022-08-24 22:36:20|MAH|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000486417|11998657|2022-09-02 11:44:09|2022-09-02 11:44:09|BNG|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000487621|12001416|2022-09-12 19:18:42|2022-09-12 19:18:42|BFZ|Others|Others|Others|Others|False|False|False|False
4000489323|12004365|2022-09-19 17:43:00|2022-09-19 17:43:00|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000489324|12004018|2022-09-19 10:53:16|2022-09-19 10:53:16|KLS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000489325|12004019|2022-09-19 10:54:37|2022-09-19 10:54:37|BNG|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000489322|12004627|2022-09-20 12:35:21|2022-09-20 12:35:21|HAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000491609|12007388|2022-09-28 16:29:39|2022-09-28 16:29:39|TSA|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000491708|12011966|2022-10-01 12:08:18|2022-10-01 12:08:18|TUN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000492059|12013126|2022-10-04 17:56:22|2022-10-04 17:56:22|BFZ|Others|Others|Others|Others|False|False|False|False
4000491709|12012920|2022-10-04 08:04:45|2022-10-04 08:04:45|BFZ|Others|Others|Others|Others|False|False|False|False
4000492058|12013213|2022-10-05 07:56:13|2022-10-05 07:56:13|BFZ|Others|Others|Others|Others|False|False|False|False
4000492232|12013829|2022-10-07 07:36:17|2022-10-07 07:36:17|KLS|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000493275|12015742|2022-10-14 10:33:12|2022-10-14 10:33:12|MKU|PA - PIS|HELP POINT|Spiral Cable|System hang|True|True|True|True
4000493276|12015745|2022-10-14 10:38:27|2022-10-14 10:38:27|RAN|PA - PIS|HELP POINT|Spiral Cable|System hang|True|True|True|True
4000494449|12017441|2022-10-19 06:40:26|2022-10-19 06:40:26|BNG|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000495195|12017959|2022-10-20 10:43:00|2022-10-20 10:43:00|BFZ|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000495494|12019413|2022-10-25 13:18:45|2022-10-25 13:18:45|BFZ|CTC System|KVM Switch|Power Adapter|System intermittent|True|True|True|True
4000495496|12019543|2022-10-25 22:42:52|2022-10-25 22:42:52|BNG|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000495864|12020227|2022-10-28 08:46:59|2022-10-28 08:46:59|BFZ|PABX|NEAX® 2000 IPS|DIGITAL CARD|Intermittent|True|True|True|True
4000497388|12025674|2022-11-02 16:00:11|2022-11-02 16:00:11|MKU|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000497389|12025688|2022-11-02 17:01:15|2022-11-02 17:01:15|BFZ|CTC System|KVM Switch|Power Adapter|System intermittent|True|True|True|True
4000497392|12025571|2022-11-02 09:33:29|2022-11-02 09:33:29|BFZ|CTC System|KVM Switch|Power Adapter|System intermittent|True|True|True|True
4000497390|12025552|2022-11-02 07:56:14|2022-11-02 07:56:14|BFZ|CTC System|KVM Switch|Power Adapter|System intermittent|True|True|True|True
4000502606|12026191|2022-11-03 22:06:24|2022-11-03 22:06:24|IBI|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000498133|12027610|2022-11-09 09:33:45|2022-11-09 09:33:45|KLS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000500646|12028994|2022-11-13 19:31:50|2022-11-13 19:31:50|BFZ|Others|Others|Others|Others|False|False|False|False
4000500653|12030845|2022-11-17 20:39:22|2022-11-17 20:39:22|BNG|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000503233|12040186|2022-12-07 08:07:33|2022-12-07 08:07:33|BAS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000505193|12044213|2022-12-16 15:23:27|2022-12-16 15:23:27|BFZ|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000505192|12044325|2022-12-17 05:57:19|2022-12-17 05:57:19|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000508044|12046693|2022-12-22 16:33:26|2022-12-22 16:33:26|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000508045|12046578|2022-12-22 09:31:31|2022-12-22 09:31:31|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000508033|12048363|2022-12-26 19:00:59|2022-12-26 19:00:59|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508029|12050012|2022-12-30 06:42:39|2022-12-30 06:42:39|BFZ|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000508030|12050165|2022-12-30 07:56:06|2022-12-30 07:56:06|BFZ|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000508533|12055372|2023-01-03 22:13:45|2023-01-03 22:13:45|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000508530|12055403|2023-01-04 05:55:09|2023-01-04 05:55:09|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508526|12056204|2023-01-06 10:22:29|2023-01-06 10:22:29|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508528|12056212|2023-01-06 10:47:02|2023-01-06 10:47:02|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508527|12056162|2023-01-06 08:51:56|2023-01-06 08:51:56|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508952|12056400|2023-01-06 23:35:48|2023-01-06 23:35:48|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508948|12056818|2023-01-08 16:04:24|2023-01-08 16:04:24|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508947|12056816|2023-01-08 15:26:33|2023-01-08 15:26:33|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000508950|12056814|2023-01-08 14:56:53|2023-01-08 14:56:53|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000510809|12059465|2023-01-16 09:45:24|2023-01-16 09:45:24|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000511702|12061695|2023-01-23 02:00:42|2023-01-23 02:00:42|BFZ|Others|Others|Others|Others|False|False|False|False
4000512028|12062692|2023-01-26 07:37:01|2023-01-26 07:37:01|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000512029|12062665|2023-01-26 05:13:34|2023-01-26 05:13:34|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|No power|True|True|True|True
4000513766|12068264|2023-02-01 10:51:31|2023-02-01 10:51:31|BFZ|CLOSE CIRCUIT TELEVISION (CCTV)|CAMERA|PTZ CAMERA|B&C connector loose|True|True|True|True
4000513768|12068968|2023-02-02 11:31:58|2023-02-02 11:31:58|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000513844|12069183|2023-02-02 22:41:12|2023-02-02 22:41:12|HAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000514211|12069907|2023-02-05 10:20:22|2023-02-05 10:20:22|BFZ|Others|Others|Others|Others|False|False|False|False
4000514209|12070062|2023-02-06 12:11:00|2023-02-06 12:11:00|IBI|PA - PIS|HELP POINT|Spiral Cable|System hang|True|True|True|True
4000514210|12070010|2023-02-06 08:01:33|2023-02-06 08:01:33|TUN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000515462|12071391|2023-02-10 06:56:28|2023-02-10 06:56:28|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000515460|12072077|2023-02-12 16:47:23|2023-02-12 16:47:23|BFZ|INTERLOCKING SYSTEM|KVM|KVM SWITCH|System intermittent|True|True|True|True
4000515455|12072600|2023-02-14 12:47:47|2023-02-14 12:47:47|BFZ|CTC System|Power Supply|Power CTC Rack|System intermittent|True|True|True|True
4000515459|12072525|2023-02-14 09:05:17|2023-02-14 09:05:17|BFZ|Others|Others|Others|Others|False|False|False|False
4000516011|12073092|2023-02-15 09:09:35|2023-02-15 09:09:35|MAH|PA - PIS|HELP POINT|Spiral Cable|System hang|True|True|True|True
4000516463|12073735|2023-02-16 20:37:28|2023-02-16 20:37:28|TUN|Others|Others|Others|Others|False|False|False|False
4000517394|12075988|2023-02-23 07:00:22|2023-02-23 07:00:22|IBI|Others|Others|Others|Others|False|False|False|False
4000517996|12076976|2023-02-26 10:34:51|2023-02-26 10:34:51|KLS|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000519041|12082317|2023-03-02 17:00:26|2023-03-02 17:00:26|BFZ|INTERLOCKING SYSTEM|HIMA MATRIX|RELAY|System intermittent|True|True|True|True
4000522230|12088633|2023-03-21 15:43:30|2023-03-21 15:43:30|TUN|PA - PIS|IPPA|Display panel|System hang|True|True|True|True
4000525171|12096457|2023-04-01 16:05:03|2023-04-01 16:05:03|BFZ|Others|Others|Others|Others|False|False|False|False
4000526201|12099655|2023-04-11 18:11:14|2023-04-11 18:11:14|BFZ|Others|Others|Others|Others|False|False|False|False
4000527358|12100460|2023-04-13 21:04:38|2023-04-13 21:04:38|BFZ|CTC System|KVM Switch|Power Adapter|Train TAG problem|True|True|True|True
4000527357|12100858|2023-04-14 22:40:12|2023-04-14 22:40:12|MAH|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000531530|12104801|2023-05-01 05:28:36|2023-05-01 05:28:36|BFZ|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Track invalid|True|True|True|True
4000530153|12110572|2023-05-07 11:07:23|2023-05-07 11:07:23|TUN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000530149|12110618|2023-05-08 06:21:32|2023-05-08 06:21:32|BNG|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000532165|12113267|2023-05-16 18:31:09|2023-05-16 18:31:09|KLS|PA - PIS|HELP POINT|Spiral Cable|System hang|True|True|True|True
4000536668|12125283|2023-06-12 23:33:44|2023-06-12 23:33:44|BFZ|PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Push button broken|True|True|True|True
4000543607|12138102|2023-07-07 17:04:18|2023-07-07 17:04:18|BFZ|CTC System|KVM Switch|Power Adapter|TNB power failure|True|True|True|True
4000542686|12139498|2023-07-12 22:47:34|2023-07-12 22:47:34|KLS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000542687|12139431|2023-07-12 17:56:46|2023-07-12 17:56:46|BFZ|Others|Others|Others|Others|False|False|False|False
4000543174|12140566|2023-07-15 08:30:45|2023-07-15 08:30:45|KLS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000544035|12141866|2023-07-18 14:27:36|2023-07-18 14:27:36|BFZ|Others|Others|Others|Others|False|False|False|False
4000544031|12142212|2023-07-19 17:48:13|2023-07-19 17:48:13|BFZ|CTC System|KVM Switch|Power Adapter|Train TAG problem|True|True|True|True
4000544355|12143198|2023-07-23 09:28:44|2023-07-23 09:28:44|IBI|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Fan problem|True|True|True|True
4000545176|12143620|2023-07-25 07:23:16|2023-07-25 07:23:16|KLS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000545177|12143621|2023-07-25 07:37:30|2023-07-25 07:37:30|BFZ|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000548176|12152986|2023-08-11 07:32:57|2023-08-11 07:32:57|BFZ|PABX|NEAX® 2000 IPS|DIGITAL CARD|Intermittent|True|True|True|True
4000548838|12154493|2023-08-16 16:13:13|2023-08-16 16:13:13|BAS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000548835|12154893|2023-08-17 14:10:06|2023-08-17 14:10:06|TSA|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000549667|12156121|2023-08-19 20:33:25|2023-08-19 20:33:25|BFZ|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000549666|12156243|2023-08-20 17:58:17|2023-08-20 17:58:17|TUN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000549727|12156402|2023-08-21 12:35:12|2023-08-21 12:35:12|MAH|PA - PIS|HELP POINT|Spiral Cable|System hang|True|True|True|True
4000550712|12157341|2023-08-25 07:07:27|2023-08-25 07:07:27|BAS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000554091|12165004|2023-09-06 17:22:50|2023-09-06 17:22:50|IBI|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000553677|12165473|2023-09-08 03:11:50|2023-09-08 03:11:50|BFZ|Others|Others|Others|Others|False|False|False|False
