system|sub_system|sub_sub_system|root_cause|department
PAGS|Door / Panel|Fixed Screen|Sliding door misalign|WS20
PAGS|Door / Panel|Fixed Screen|Sliding door crack|WS20
PAGS|Door / Panel|Fixed Screen|Fixed screen crack|WS20
PAGS|Door / Panel|Body Frame Right|Sliding door misalign|WS20
PAGS|Door / Panel|Body Frame Right|Sliding door crack|WS20
PAGS|Door / Panel|Body Frame Right|Fixed screen crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Right & Tinted|Sliding door misalign|WS20
PAGS|Door / Panel|Motorized Sliding Door Right & Tinted|Sliding door crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Right & Tinted|Fixed screen crack|WS20
PAGS|Door / Panel|Body Frame Left|Sliding door misalign|WS20
PAGS|Door / Panel|Body Frame Left|Sliding door crack|WS20
PAGS|Door / Panel|Body Frame Left|Fixed screen crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Left & Tinted|Sliding door misalign|WS20
PAGS|Door / Panel|Motorized Sliding Door Left & Tinted|Sliding door crack|WS20
PAGS|Door / Panel|Motorized Sliding Door Left & Tinted|Fixed screen crack|WS20
PAGS|(DCU) Door Control Unit|DCU Right|No power from incoming supply|WS20
PAGS|(DCU) Door Control Unit|DCU Right|Door crack|WS20
PAGS|(DCU) Door Control Unit|DCU Right|Door faulty|WS20
PAGS|(DCU) Door Control Unit|DCU Left|No power from incoming supply|WS20
PAGS|(DCU) Door Control Unit|DCU Left|Door crack|WS20
PAGS|(DCU) Door Control Unit|DCU Left|Door faulty|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|HMI hang|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|MCB issue|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Relay issue|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|PLC hang|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Push button broken|WS20
PAGS|(LCU) Local Control Unit|LCU Miniature Circuit Breaker, 2 Pole, 6A|Diode broken|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|HMI hang|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|MCB issue|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Relay issue|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|PLC hang|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Push button broken|WS20
PAGS|(LCU) Local Control Unit|G1 - DIN rail power supply 90W, 24VDC, 3.8A|Diode broken|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|HMI hang|WS20
PAGS|(LCU) Local Control Unit|Diode redundancy module|No connection on LCU network|WS20
