work_order_no|notification_no|created_on|date_closed|station|system|sub_system|sub_sub_system|check_system|check_sub_system|check_sub_sub_system
4000449001|11892690|2022-01-02 00:04:46|2022-01-02 00:04:46|DEPOT|SWITCH 3|Switchdeck & RC Beam|Flipper|True|True|True
4000444230|11895462|2022-01-07 10:38:43|2022-01-07 10:38:43|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000445244|11897330|2022-01-17 18:25:02|2022-01-17 18:25:02|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000470781|11910007|2022-02-16 16:51:21|2022-02-16 16:51:21|DEPOT|Compressor 1 & 2|Filter|Filter To remove contaminants like liquid water from the compressed air stream.|True|True|True
4000458883|11918502|2022-03-04 19:09:44|2022-03-04 19:09:44|KLS|SWITCH 1 & 2|Switchdeck & RC Beam|Flipper|True|True|True
4000459325|11933196|2022-04-08 08:49:00|2022-04-08 08:49:00|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000462067|11937805|2022-04-21 08:49:59|2022-04-21 08:49:59|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000466935|11950373|2022-05-23 10:41:14|2022-05-23 10:41:14|DEPOT|Compressor 1 & 2|Motor|Siemens (E0270/010755/6 030) (37kW 415V 50Hz) (IEC/EN 60034)|True|True|True
4000467337|11951180|2022-05-25 17:30:16|2022-05-25 17:30:16|DEPOT|SWITCH 4|Switchdeck & RC Beam|Flipper|True|True|True
4000470588|11959000|2022-06-09 15:43:23|2022-06-09 15:43:23|DEPOT|Track Maintenance Vehicle 3|Crane|SCHNEIDER ELECTRIC ZBE-101|True|True|True
4000470989|11960926|2022-06-16 03:12:22|2022-06-16 03:12:22|MNL|GUIDEWAY BEAM STRUCTURE|Expended Metal|CHECKER PLATE LENGTH 123.5CM x WIDE 245.8CM|True|True|True
4000471190|11961165|2022-06-16 10:13:43|2022-06-16 10:13:43|DEPOT|Track Maintenance Vehicle 1|Battery|Brand: Centrury 12V CMBW 002627832|True|True|True
4000471844|11962079|2022-06-17 16:44:24|2022-06-17 16:44:24|DEPOT|SWITCH 3|Motor|Motor brake|True|True|True
4000471236|11961285|2022-06-17 01:47:16|2022-06-17 01:47:16|DEPOT|SWITCH 4|Switchdeck & RC Beam|Flipper|True|True|True
4000472148|11962427|2022-06-18 15:58:56|2022-06-18 15:58:56|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000472187|11962528|2022-06-19 14:40:42|2022-06-19 14:40:42|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000472338|11962861|2022-06-20 16:58:08|2022-06-20 16:58:08|DEPOT|SWITCH 3|Motor|Motor brake|True|True|True
4000472263|11962727|2022-06-20 10:42:17|2022-06-20 10:42:17|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000472500|11963362|2022-06-21 16:17:10|2022-06-21 16:17:10|DEPOT|GUIDEWAY BEAM|Beam|Expansion joint plate|True|True|True
4000472394|11962934|2022-06-21 02:09:25|2022-06-21 02:09:25|MNL|GUIDEWAY BEAM|Beam|Expansion joint plate|True|True|True
4000472395|11962935|2022-06-21 02:14:12|2022-06-21 02:14:12|MNL|Powerrail|Rail|Cover board|True|True|True
4000472564|11963456|2022-06-22 01:21:19|2022-06-22 01:21:19|MNL|GUIDEWAY BEAM|Beam|Buffer Stop|True|True|True
4000473929|11964368|2022-06-22 21:10:40|2022-06-22 21:10:40|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000473166|11965076|2022-06-24 16:06:10|2022-06-24 16:06:10|DEPOT|SWITCH 3|Motor|Motor brake|True|True|True
4000473832|11966715|2022-06-28 16:03:41|2022-06-28 16:03:41|DEPOT|SWITCH 7 & 8|Carriage Including Carriage Wheel|Carriage|True|True|True
4000474014|11967029|2022-06-29 21:48:54|2022-06-29 21:48:54|DEPOT|SWITCH 4|Switchdeck & RC Beam|Flipper|True|True|True
4000475119|11967030|2022-06-29 22:02:03|2022-06-29 22:02:03|DEPOT|SWITCH 4|Switchdeck & RC Beam|Flipper|True|True|True
4000473952|11966932|2022-06-29 15:50:59|2022-06-29 15:50:59|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
4000474090|11967229|2022-06-30 14:23:22|2022-06-30 14:23:22|DEPOT|SWITCH 3|Switchdeck & RC Beam|Flipper|True|True|True
4000474089|11967228|2022-06-30 14:16:02|2022-06-30 14:16:02|DEPOT|SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|True|True|True
