system|sub_system|sub_sub_system|department
SWITCH 1 & 2|Switchdeck & RC Beam|Flipper|TNMD
SWITCH 1 & 2|Switchdeck & RC Beam|Flashing Yellow Light (Patlite PSF-220-Y)|TNMD
SWITCH 1 & 2|Switchdeck & RC Beam|Static Blue Light (Patlite PS-220-B)|TNMD
SWITCH 1 & 2|Carriage Including Carriage Wheel|Roller|TNMD
SWITCH 1 & 2|Carriage Including Carriage Wheel|Refill non-rumba hand grease pump reservoir (Can get model)|TNMD
SWITCH 1 & 2|Lockpin|All Sensor on Lockpin|TNMD
SWITCH 1 & 2|Lockpin|Motor Cylinder|TNMD
SWITCH 1 & 2|Lockpin|3 PHASE BRAKE MOTOR|TNMD
SWITCH 1 & 2|Rotork system|Gear Motor|TNMD
SWITCH 1 & 2|Rotork system|Remote for setting|TNMD
SWITCH 1 & 2|Rotork system|Battery Remote Rotork|TNMD
SWITCH 1 & 2|Non - Rumba mechanism|Non-Rumba brake motor|TNMD
SWITCH 1 & 2|Non - Rumba mechanism|Non-Rumba motor cylinder|TNMD
SWITCH 1 & 2|Switch Beam|Arm guide|TNMD
SWITCH 1 & 2|Switch Beam|Finger plate switch beam|TNMD
SWITCH 1 & 2|Switch Beam|Brake Pad|TNMD
SWITCH 1 & 2|Switch Beam|GEAR MOTOR|TNMD
SWITCH 1 & 2|Gearbox assembly|Primary to secondary gearbox drive shaft couplings|TNMD
SWITCH 1 & 2|Gearbox assembly|Chain coupling (Attach Model Chain)|TNMD
SWITCH 1 & 2|Gearbox assembly|Reduction Gear SW1 GEARBOX 1 (PRIMARY) HITACHI TYPE - SCR-565 - BW X 2 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 70L WEIGHT - 1700KG MFG NO - 62582 SERIAL NO - 019|TNMD
SWITCH 1 & 2|Gearbox assembly|GEARBOX 2 HITACHI TYPE - SCR-275 - W X 1 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 35L WEIGHT - 1100KG MFG NO - 62582 SERIAL NO - 020|TNMD
SWITCH 1 & 2|Gearbox assembly|GEARBOX 3 HITACHI TYPE - SCR-275 - W X 1 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 35L WEIGHT - 1100KG MFG NO - 62582 SERIAL NO - 021|TNMD
SWITCH 1 & 2|Gearbox assembly|GEARBOX 4 HITACHI TYPE - SCR-275 - W X 1 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 35L WEIGHT - 1100KG MFG NO - 62582 SERIAL NO - 022|TNMD
SWITCH 1 & 2|Local Control Panel|24VDC White LED Pilot light (TELEMECANIQUE ZBV-B1)|TNMD
SWITCH 1 & 2|Local Control Panel|24VDC Green LED Pilot light (TELEMECANIQUE ZBV-B3)|TNMD
SWITCH 1 & 2|Local Control Panel|24VDC Red LED Pilot Light (TELEMECANIQUE ZBV-B3)|TNMD
SWITCH 1 & 2|Local Control Panel|24VDC Buzzer, Waterproof (IDEC IZUMI ANNZ-B10)|TNMD
SWITCH 1 & 2|Local Control Panel|Emergency Stop Pushbutton, Red Push-Turn to Release (Telemecanique ZBE 102)|TNMD
SWITCH 1 & 2|Local Control Panel|Pushbutton, Flush Head, Normally Open (Telemecanique ZBE 101)|TNMD
SWITCH 1 & 2|Fallback Control Panel|100A, 3P, 600V Circuit Breaker (NS 100-160-250)|TNMD
SWITCH 1 & 2|Fallback Control Panel|63A, 3P, 600V Circuit Breaker (ABB)|TNMD
SWITCH 1 & 2|Fallback Control Panel|32A, 3P, 600V Circuit Breaker (MERLIN GERMIN)|TNMD
SWITCH 1 & 2|Fallback Control Panel|10A, 1P, 240V Circuit Breaker (MERLIN GERMIN)|TNMD
SWITCH 1 & 2|Fallback Control Panel|6A, 2P, 240V Circuit Breaker (MERLIN GERMIN)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Motor S1M Brake Control (HITACHI)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Magnetic Contactor Assembly H35, Forward - Reverse with Thermal Overload (HITACHI) (Brpa Volt coil)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Magnetic Contactor Assembly H20, Forward - Reverse (HITACHI) (Brpa Volt coil)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Magnetic Contactor Assembly H11, Forward - Reverse with Thermal Overload (HITACHI) (Brpa Volt coil)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Compact Fluorescent Light 10W 240Vac (GENERIC)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Anti Condensation Heater 240Vac 25W (GENERIC)|TNMD
SWITCH 1 & 2|Fallback Control Panel|240VAC Receptacle (GENERIC)|TNMD
SWITCH 1 & 2|Fallback Control Panel|DC Neutral Relay (Safety Relay) 24Vdc Coil (NIPPON SIGNAL)|TNMD
SWITCH 1 & 2|Fallback Control Panel|DC Neutral Relay Base (NIPPON SIGNAL)|TNMD
SWITCH 1 & 2|Fallback Control Panel|General Purpose Under-voltage Relay, 110Vac (OMRON)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Silicon Rectifier (NIPPON SIGNAL) (Attach Input & Output)|TNMD
SWITCH 1 & 2|Fallback Control Panel|General Purpose Timer, Delay-Off Adjustable (OMRON)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Control Transformer, 240V - 120V, 1000VA (Attach Output)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Switch OFF - ON 240VAC|TNMD
SWITCH 1 & 2|Fallback Control Panel|2 Position key-switch, 1 N/O and 2 N/C contacts, stay put with key withdrawal on LH (Telemecanique ZBE-101)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Lightning Arrester, TDS 277V 80kA SURGE SUPPRESSOR (ERICO)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Lightning Arrester, 1 PHASE, 50kA 8/2us, 10A SERIES TVSS protector (ERICO)|TNMD
SWITCH 1 & 2|Fallback Control Panel|Phase Sequence/Failure Relay (ANV)|TNMD
SWITCH 1 & 2|Electrial Part|Attach Sensor & Limit Switch|TNMD
SWITCH 3|Switchdeck & RC Beam|Flipper|TNMD
SWITCH 3|Switchdeck & RC Beam|Flashing Yellow Light (Patlite PSF-220-Y)|TNMD
SWITCH 3|Switchdeck & RC Beam|Static Blue Light (Patlite PS-220-B)|TNMD
SWITCH 3|Carriage Including Carriage Wheel|Roller|TNMD
SWITCH 3|Carriage Including Carriage Wheel|Refill non-rumba hand grease pump reservoir|TNMD
SWITCH 3|Lockpin|Attach Sensor & Limit Switch on Lockpin|TNMD
SWITCH 3|Lockpin|Motor Cylinder (COSMIC INDUSTRY) TYPE - BN1T FORM - 0.9J STROKE - 90MM POWER - 1000KG SPEED - 71 / 85 (MM/SEC) RATING - SPECIAL MIN VOLT - 400V /400V CYCLES - 50Hz / 60Hz AMP'S - 40A / 40A INSULATION - E MOTOR - 1.5 kW WEIGHT - 70KG MFG NO - J 2191311|TNMD
SWITCH 3|Lockpin|3 PHASE BRAKE MOTOR (ECONOSTOP YASKAWA ELECTRIC) TYPE - EELYQ-50 RATING - SPECIAL INS. CLASS - E kW - 1.5 POLES - 4 V - 400 / 400 HZ - 50 / 60 BRG . NO - 6204ZZ / 6204UU SER.NO - 6V53081|TNMD
SWITCH 3|Switch Beam|Arm guide|TNMD
SWITCH 3|Switch Beam|Finger plate switch beam|TNMD
SWITCH 3|Motor|Motor brake|TNMD
SWITCH 3|Motor|GEAR MOTOR (HITACHI) TYPE - T 0 2 6 POLES - 4 HERTZ - 50 kW - 1.5 RPM - 180 G.F TYPE - MH 438 J GEAR RATIO - 1 : 8 G.NO - U 80329 MFG NO - Y 79163706 DATE - 1997 THREE PHASE INDUCTION MOTOR (HITACHI) 1.5kW Y 79163702|TNMD
SWITCH 3|Gearbox assembly|Primary to secondary gearbox drive shaft couplings|TNMD
SWITCH 3|Gearbox assembly|Chain coupling (Attach Model Chain)|TNMD
SWITCH 3|Gearbox assembly|Reduction Gear SW1 GEARBOX 1 (PRIMARY) HITACHI TYPE - SCR-565 - BW X 2 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 70L WEIGHT - 1700KG MFG NO - 62582 SERIAL NO - 019|TNMD
SWITCH 3|Gearbox assembly|GEARBOX 2 HITACHI TYPE - SCR-275 - W X 1 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 35L WEIGHT - 1100KG MFG NO - 62582 SERIAL NO - 020|TNMD
SWITCH 3|Gearbox assembly|GEARBOX 3 HITACHI TYPE - SCR-275 - W X 1 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 35L WEIGHT - 1100KG MFG NO - 62582 SERIAL NO - 021|TNMD
SWITCH 3|Gearbox assembly|GEARBOX 4 HITACHI TYPE - SCR-275 - W X 1 MOTOR - 15kW GEAR RATIO - 1/50 OIL QTY - 35L WEIGHT - 1100KG MFG NO - 62582 SERIAL NO - 022|TNMD
SWITCH 3|Local Control Panel|24VDC White LED Pilot light (TELEMECANIQUE ZBV-B1)|TNMD
SWITCH 3|Local Control Panel|24VDC Green LED Pilot light (TELEMECANIQUE ZBV-B3)|TNMD
SWITCH 3|Local Control Panel|24VDC Red LED Pilot Light (TELEMECANIQUE ZBV-B3)|TNMD
SWITCH 3|Local Control Panel|24VDC Buzzer, Waterproof (IDEC IZUMI ANNZ-B10)|TNMD
SWITCH 3|Local Control Panel|Emergency Stop Pushbutton, Red Push-Turn to Release (Telemecanique ZBE 102)|TNMD
SWITCH 3|Local Control Panel|Pushbutton, Flush Head, Normally Open (Telemecanique ZBE 101)|TNMD
SWITCH 3|Fallback Control Panel|100A, 3P, 600V Circuit Breaker (NS 100-160-250)|TNMD
SWITCH 3|Fallback Control Panel|63A, 3P, 600V Circuit Breaker (ABB)|TNMD
SWITCH 3|Fallback Control Panel|32A, 3P, 600V Circuit Breaker (MERLIN GERMIN)|TNMD
SWITCH 3|Fallback Control Panel|10A, 1P, 240V Circuit Breaker (MERLIN GERMIN)|TNMD
SWITCH 3|Fallback Control Panel|6A, 2P, 240V Circuit Breaker (MERLIN GERMIN)|TNMD
SWITCH 3|Fallback Control Panel|Motor S1M Brake Control (HITACHI)|TNMD
SWITCH 3|Fallback Control Panel|Magnetic Contactor Assembly H35, Forward - Reverse with Thermal Overload (HITACHI)|TNMD
SWITCH 3|Fallback Control Panel|Magnetic Contactor Assembly H20, Forward - Reverse (HITACHI)|TNMD
SWITCH 3|Fallback Control Panel|Magnetic Contactor Assembly H11, Forward - Reverse with Thermal Overload (HITACHI)|TNMD
SWITCH 3|Fallback Control Panel|Compact Fluorescent Light 10W 240Vac (GENERIC)|TNMD
