system|sub_system|sub_sub_system|root_cause|department
Generator Set|Volvo 100kVa|AMF Board|Relay, Timer, loose connection, Under voltage relay faulty|WS10
Generator Set|Volvo 100kVa|Engine|Engine oil, filter & Coolant leak|WS10
Generator Set|Volvo 100kVa|Alternator|Insulation is cracked or brittle|WS10
Generator Set|Volvo 100kVa|Battery|Charger card failure, power supply failure, Battery faulty|WS10
Generator Set|Volvo 175kVa|AMF Board|Relay, Timer, loose connection, Under voltage relay faulty|WS10
Generator Set|Volvo 175kVa|Engine|Engine oil, filter & Coolant leak|WS10
Generator Set|Volvo 175kVa|Alternator|Insulation is cracked or brittle|WS10
Generator Set|Volvo 175kVa|Battery|Charger card failure, power supply failure, Battery faulty|WS10
Generator Set|Volvo 250kVa|AMF Board|Relay, Timer, loose connection, Under voltage relay faulty|WS10
Generator Set|Volvo 250kVa|Engine|Engine oil, filter & Coolant leak|WS10
Generator Set|Volvo 250kVa|Alternator|Insulation is cracked or brittle|WS10
Generator Set|Volvo 250kVa|Battery|Charger card failure, power supply failure, Battery faulty|WS10
Generator Set|Volvo 300kVa|AMF Board|Relay, Timer, loose connection, Under voltage relay faulty|WS10
Generator Set|Volvo 300kVa|Engine|Engine oil, filter & Coolant leak|WS10
Generator Set|Volvo 300kVa|Alternator|Insulation is cracked or brittle|WS10
Generator Set|Volvo 300kVa|Battery|Charger card failure, power supply failure, Battery faulty|WS10
Generator Set|Mitsubishi 1000kVa|AMF Board|Relay, Timer, loose connection, Under voltage relay faulty|WS10
Generator Set|Mitsubishi 1000kVa|Engine|Engine oil, filter & Coolant leak|WS10
Generator Set|Mitsubishi 1000kVa|Alternator|Insulation is cracked or brittle|WS10
Generator Set|Mitsubishi 1000kVa|Battery|Charger card failure, power supply failure, Battery faulty|WS10
UPS|40 KVA (Station)|Board|Capasitor burn, Power surge|WS10
UPS|40 KVA (Station)|Battery|Charger card failure, power supply failure, Battery faulty|WS10
UPS|40 KVA (Station)|Display Panel|power supply failure, Display panel faulty|WS10
UPS|40 KVA (Station)|MCB|Mechanical fault, Overload tripping|WS10
UPS|40 KVA (Station)|Cable|Insulation is cracked or brittle, Cable fault|WS10
UPS|40 KVA (Station)|Cable Lugs|Cable lugs loose|WS10
UPS|40 KVA (Station)|Module|power supply failure, Fuse blown|WS10
UPS|40 KVA (Station)|Fuse|Blown fuse|WS10
UPS|10 KVA (TPSS SSZ)|Board|Capasitor burn, Power surge|WS10
UPS|10 KVA (TPSS SSZ)|Battery|Charger card failure, power supply failure, Battery faulty|WS10
