sub_sub_system|department
AMF Board|WS10
Engine|WS10
Alternator|WS10
Battery|WS10
Board|WS10
Display Panel|WS10
MCB|WS10
Cable|WS10
Cable Lugs|WS10
Module|WS10
Fuse|WS10
Female Terminal Lugs|WS10
Tank Structure|WS10
Cooling System (kVAW)|WS10
Core & Winding Assembly|WS10
High Voltage System (11kV)|WS10
Low Voltage (415V)|WS10
Monitoring & Protecting System|WS10
Control Switches|WS10
Push button|WS10
Indicators light|WS10
Measuring Devices|WS10
Protection|WS10
Operate Interface|WS10
Keyed Emergency Mechanism|WS10
Power Indicator Light Control Panel|WS10
Becon light|WS10
MCCB|WS10
Capacitor Bank|WS10
Automatic Transfer Switch (ATS)|WS10
Current Transformer|WS10
Surge Protection Device (SPD)|WS10
Relay|WS10
Terminal Block|WS10
MCCB Compartment|WS10
Stinger Control Circuit|WS10
Stinger Plug|WS10
Feeder 1|WS10
Feeder 2|WS10
Feeder 3|WS10
Feeder 4|WS10
Feeder AARU|WS10
Power Supply|WS10
AARU Controller|WS10
Resistor Bank|WS10
Circuit Breaker|WS10
Instrument|WS10
CT/VT/PT|WS10
Control System|WS10
Main Power Conversion|WS10
Control & Instrument Panel|WS10
Panel 10A/20A|WS10
Battery 1.2V|WS10
DC Charager|WS10
Fixed Screen|WS20
Body Frame Right|WS20
Motorized Sliding Door Right & Tinted|WS20
Body Frame Left|WS20
Motorized Sliding Door Left & Tinted|WS20
DCU Right|WS20
DCU Left|WS20
LCU Miniature Circuit Breaker, 2 Pole, 6A|WS20
G1 - DIN rail power supply 90W, 24VDC, 3.8A|WS20
Diode redundancy module|WS20
Programmable gateway, 24VDC|WS20
"10"" Display HMI/PLC"|WS20
Fast Industrial Hotspot RLX2|WS20
8 Digital Inputs Module, 24VDC, PNP, pushin terminal|WS20
8 Digital Output Module, 24VDC, max. 0.5A, PNP, pushin terminal|WS20
Miniature plugin relay, 5A, 2 contact with LED, 24VDC|WS20
Socket for RXM2 Relay|WS20
Selector Switch, 2 position stay put, Ø22, 1 NO|WS20
Push Button, flush green, Ø22, spring return 1NO|WS20
Push Button, flush red, Ø22, spring return 1NO|WS20
5 port unmanaged Ethernet switches|WS20
Terminal Block|WS20
Moulded case Circuit Breaker 4 Pole 50A|WS20
Earth Leakage Breaker 3 Pole 30A|WS20
1 Phase Overvoltage Protection Relay|WS20
Earthing Busbar|WS20
Receiver IP65|WS20
Emitter IP65|WS20
Distance Measurement Sensor|WS20
Stop Position Sensor|WS20
Panic Bar / Door Locking Panel|WS20
Tempered Glass Panel|WS20
Hinge Door|WS20
Motor / Gear Box Assembly|WS20
MC521 Control Box|WS20
Timing Belt 3/4 - 28' Length|WS20
Tensioner|WS20
Bolt Lock|WS20
Door Sensor|WS20
Door Handle|WS20
RF Transceiver|WS20
RF Antenna|WS20
Mounting Bracket|WS20
FRONTAL PING/ESD|WS20
FRONTAL ESD/ESD|WS20
MAINTAINANCE SWITCH (Cdg)|WS20
MIRET|WS20
FIELD INTERFACE RELAY|WS20
NETWORK SWITCH MOXA|WS20
FAN PANEL|WS20
POWER INCOMING RACK|WS20
TRAIN DETECTION UNIT (TDU)|WS20
AXLE COUNTER (ACE)|WS20
LEU SYSTEM/MODULE|WS20
BALISE|WS20
TRAFFIC LIGHT|WS20
KVM SWITCH|WS20
Optical Distribution Frame (ODF)|WS20
LSC|WS20
POWER SUPPLY UNIT|WS20
Power Supply Unit card|WS20
CPU Card|WS20
Digital Input Card 32|WS20
Digital Input / Output Card 24/16|WS20
Safety Relay|WS20
Non Safety Relay|WS20
RELAY|WS20
EARTH LEAKAGE DETECTOR|WS20
Power Adapter|WS20
KVM converter|WS20
KVM converter CTC Backup|WS20
Network Cable|WS20
VGA Cable|WS20
KVM Cable Converter|WS20
Fiber Patch Cord Cable|WS20
Power CTC Rack|WS20
OPEN TRANSPORT NETWORK (N5024C)|WS20
SDH|WS20
CONVERTER HDMI|WS20
CONVERTER VGA|WS20
RCA CONNECTOR|WS20
POWER ADAPTER CONVERTER MONITOR|WS20
TYPE CABLE|WS20
LCD WALL MOUNT|WS20
PTZ CAMERA|WS20
CONVERTER PTZ FIBER TO BNC (BFN)|WS20
FIBER CABLE|WS20
POWER SUPPLY CONVERTER INCOMING 12VDC|WS20
BULLET NARROW/STAND ALONE CAMERA|WS20
CONVERTER FIBER TO BNC (TPSS) RECEIVER|WS20
CONVERTER FIBER TO BNC (TPSS) TRANSMITTER|WS20
POWER ADAPTOR CONVERTER 12VDC (TPSS)|WS20
FIBER CABLE (TPSS)|WS20
POWER SUPPLY INCOMING 12VDC|WS20
DOME CAMERA|WS20
POWER ADAPTER DOME CAMERA 12V|WS20
VIDEO MODEM TRANSMITTER|WS20
VIDEO POWER RECEIVER|WS20
CABLE COXIAL TYPE|WS20
BNC CONNECTOR|WS20
BRACKETS BULLET NARROW CAMERA|WS20
BACK PLANE/BASE UNIT|WS20
POWER SUPPLY|WS20
CPU CARD MODULE|WS20
BATTERY CPU CARD|WS20
ETH CARD MODULE|WS20
INPUT CARD MODULE|WS20
OUTPUT CARD MODULE|WS20
ANALOG CARD / A/D CONVERTER MODULE|WS20
CONNECTOR CABLE INPUT CARD|WS20
PROGRAMMING USB MINI CABLE|WS20
NETWORK UTP/RJ45 CABLE|WS20
UTP Modular Connector/RJ45|WS20
POWER SUPPLY INCOMING 24VDC|WS20
TBQC|WS20
CONNECTOR CABLE TBQC|WS20
