system|department
Generator Set|WS10
UPS|WS10
Transformer|WS10
Load Break Switch|WS10
Low Voltage|WS10
Blue Light System|WS10
Stinger|WS10
TPSS|WS10
PAGS|WS20
INTERLOCKING SYSTEM|WS20
CTC System|WS20
CTS|WS20
CLOSE CIRCUIT TELEVISION (CCTV)|WS20
Supervisory Control and Data Acquisition (SCADA)|WS20
PABX|WS20
PA - PIS|WS20
RADIO QS2|WS20
RADIO QS3|WS20
RADIO QS4|WS20
RADIO QS5|WS20
RADIO QS6|WS20
RADIO QS7|WS20
RADIO QS8|WS20
RADIO QS9|WS20
RADIO QS10|WS20
RADIO QS11|WS20
RADIO QS12|WS20
RADIO QS13|WS20
RADIO QS14|WS20
RADIO QS15|WS20
RADIO QS16|WS20
RADIO QS17|WS20
RADIO QS18|WS20
RADIO QS19|WS20
RADIO QS20|WS20
RADIO QS21|WS20
RADIO QS22|WS20
RADIO QS23|WS20
RADIO QS24|WS20
RADIO QS25|WS20
RADIO QS26|WS20
RADIO QS27|WS20
RADIO QS28|WS20
RADIO QS29|WS20
RADIO QS30|WS20
RADIO QS31|WS20
RADIO QS32|WS20
RADIO QS33|WS20
RADIO QS34|WS20
RADIO QS35|WS20
RADIO QS36|WS20
RADIO ELECTCOM|WS20
VIDEO WALL|WS20
Radio Base Channel|WS20
Desktop Mic|WS20
Speaker|WS20
IPPA Paging Station|WS20
PTT Amplifier Headset|WS20
Acom Media Dock XS|WS20
Headset Jackbox, No Volume Control|WS20
Netlog|WS20
Radio Gateway|WS20
Storage SCADA|WS20
CPU|WS20
KVM Network Switch (Transmitter)|WS20
Monitor KVM Switch|WS20
KVM Converter Receiver|WS20
SWITCH 1 & 2|TNMD
SWITCH 3|TNMD
SWITCH 4|TNMD
SWITCH 5 & 6|TNMD
SWITCH 7 & 8|TNMD
Powerrail|TNMD
GUIDEWAY BEAM STRUCTURE|TNMD
GUIDEWAY BEAM|TNMD
Track Maintenance Vehicle 3|TNMD
Track Maintenance Vehicle 1|TNMD
Track Maintenance Vehicle 2|TNMD
Traverser|TNMD
Overhead Crane 1 & 2|TNMD
Overhead Crane 3 & 4|TNMD
Pedestal Drill|TNMD
Pedestal Grinder|TNMD
Compressor 1 & 2|TNMD
Compressor 3 & 4|TNMD
Compressor 5, 6 & 7|TNMD
Hydraulic Press|TNMD
Bogie Drop Pit|TNMD
Bogie Test Machine|TNMD
Center Lathe Machine|TNMD
AUTOMATIC TRAIN WASH PLANT|TNMD
