workorder_no,inspection_date,actual_start,actual_end
4000441928,2022-01-02,2022-01-02 09:00:00,2022-01-02 10:00:00
4000441929,2022-01-03,2022-01-03 10:00:00,2022-01-03 11:00:00
4000442386,2022-01-04,2022-01-04 07:00:00,2022-01-04 10:00:00
4000442388,2022-01-05,2022-01-05 10:00:00,2022-01-05 11:00:00
4000442389,2022-01-05,2022-01-05 09:00:00,2022-01-05 10:00:00
4000442392,2022-01-06,2022-01-06 09:00:00,2022-01-06 10:00:00
4000443598,2022-01-07,2022-01-07 09:00:00,2022-01-07 10:00:00
4000443599,2022-01-07,2022-01-07 10:00:00,2022-01-07 11:00:00
4000443602,2022-01-08,2022-01-08 09:00:00,2022-01-08 10:00:00
4000443603,2022-01-08,2022-01-08 10:00:00,2022-01-08 11:00:00
4000443604,2022-01-09,2022-01-09 09:00:00,2022-01-09 10:00:00
4000443605,2022-01-09,2022-01-09 09:00:00,2022-01-09 10:00:00
4000443607,2022-01-10,2022-01-10 10:00:00,2022-01-10 11:00:00
4000443608,2022-01-11,2022-01-11 10:00:00,2022-01-11 11:00:00
4000443610,2022-01-11,2022-01-11 09:00:00,2022-01-11 10:00:00
4000443612,2022-01-12,2022-01-12 10:00:00,2022-01-12 11:00:00
4000443613,2022-01-12,2022-01-12 09:00:00,2022-01-12 10:00:00
4000443614,2022-01-13,2022-01-13 10:00:00,2022-01-13 11:00:00
4000443615,2022-01-13,2022-01-13 09:00:00,2022-01-13 10:00:00
4000443616,2022-01-13,2022-01-13 10:00:00,2022-01-13 11:00:00
4000444202,2022-01-14,2022-01-14 09:00:00,2022-01-14 10:00:00
4000444203,2022-01-14,2022-01-14 09:00:00,2022-01-14 10:00:00
4000444204,2022-01-14,2022-01-14 11:00:00,2022-01-14 12:00:00
4000444206,2022-01-15,2022-01-15 10:00:00,2022-01-15 11:00:00
4000444207,2022-01-15,2022-01-15 09:00:00,2022-01-15 10:00:00
4000444209,2022-01-16,2022-01-16 09:00:00,2022-01-16 10:00:00
4000444211,2022-01-17,2022-01-17 09:00:00,2022-01-17 10:00:00
4000444212,2022-01-18,2022-01-18 09:00:00,2022-01-18 10:00:00
4000444213,2022-01-18,2022-01-18 10:00:00,2022-01-18 11:00:00
4000445973,2022-01-19,2022-01-19 09:00:00,2022-01-19 10:00:00
4000445974,2022-01-19,2022-01-19 10:01:00,2022-01-19 11:00:00
4000445975,2022-01-20,2022-01-20 10:30:00,2022-01-20 11:00:00
4000445976,2022-01-20,2022-01-20 09:00:00,2022-01-20 10:00:00
4000445977,2022-01-20,2022-01-20 09:00:00,2022-01-20 10:00:00
4000445978,2022-01-21,2022-01-21 09:00:00,2022-01-21 10:00:00
4000445979,2022-01-21,2022-01-21 10:00:00,2022-01-21 11:00:00
4000445980,2022-01-21,2022-01-21 09:00:00,2022-01-21 10:00:00
4000445983,2022-01-22,2022-01-22 09:00:00,2022-01-22 10:00:00
4000445985,2022-01-23,2022-01-23 10:00:00,2022-01-23 11:00:00
4000445986,2022-01-24,2022-01-24 08:00:00,2022-01-24 13:00:00
4000445987,2022-01-24,2022-01-24 10:00:00,2022-01-24 11:00:00
4000445988,2022-01-25,2022-01-25 09:00:00,2022-01-25 10:00:00
4000445989,2022-01-25,2022-01-25 11:00:00,2022-01-25 12:00:00
4000446654,2022-01-28,2022-01-28 10:00:00,2022-01-28 11:00:00
4000446655,2022-01-28,2022-01-28 09:00:00,2022-01-28 10:00:00
4000446657,2022-01-28,2022-01-28 10:00:00,2022-01-28 11:00:00
4000446659,2022-01-29,2022-01-29 09:00:00,2022-01-29 10:00:00
4000446660,2022-01-29,2022-01-29 10:00:00,2022-01-29 11:00:00
4000446662,2022-01-30,2022-01-30 09:00:00,2022-01-30 10:00:00
4000446663,2022-01-26,2022-01-26 10:00:00,2022-01-26 11:00:00
4000446664,2022-01-26,2022-01-26 09:00:00,2022-01-26 10:00:00
4000446665,2022-01-27,2022-01-27 09:00:00,2022-01-27 10:00:00
4000446666,2022-01-27,2022-01-27 09:00:00,2022-01-27 10:00:00
4000446667,2022-01-27,2022-01-27 10:00:00,2022-01-27 11:00:00
4000447222,2022-01-31,2022-01-31 10:00:00,2022-01-31 11:00:00
4000447224,2022-01-31,2022-01-31 09:00:00,2022-01-31 10:00:00
4000447225,2022-02-01,2022-02-01 10:00:00,2022-02-01 11:00:00
4000447226,2022-02-01,2022-02-01 09:00:00,2022-02-01 10:00:00
4000447230,2022-02-02,2022-02-02 09:00:00,2022-02-02 10:00:00
4000447231,2022-02-02,2022-02-02 10:40:00,2022-02-02 11:00:00
4000448494,2022-02-03,2022-02-03 10:00:00,2022-02-03 11:00:00
4000448495,2022-02-03,2022-02-03 11:00:00,2022-02-03 12:00:00
4000448496,2022-02-03,2022-02-03 09:00:00,2022-02-03 10:00:00
4000448497,2022-02-04,2022-02-04 10:00:00,2022-02-04 11:00:00
4000448498,2022-02-04,2022-02-04 11:00:00,2022-02-04 12:00:00
4000448499,2022-02-04,2022-02-04 09:00:00,2022-02-04 10:00:00
4000448501,2022-02-05,2022-02-05 09:00:00,2022-02-05 10:00:00
4000448502,2022-02-05,2022-02-05 09:00:00,2022-02-05 10:00:00
4000448504,2022-02-06,2022-02-06 10:00:00,2022-02-06 11:00:00
4000448505,2022-02-07,2022-02-07 10:00:00,2022-02-07 11:00:00
4000448507,2022-02-07,2022-02-07 09:00:00,2022-02-07 10:00:00
4000448508,2022-02-08,2022-02-08 10:00:00,2022-02-08 11:00:00
4000448509,2022-02-08,2022-02-08 09:00:00,2022-02-08 10:00:00
4000448511,2022-02-09,2022-02-09 10:00:00,2022-02-09 11:00:00
4000448512,2022-02-09,2022-02-09 09:00:00,2022-02-09 10:00:00
4000448513,2022-02-10,2022-02-10 11:00:00,2022-02-10 12:00:00
4000448514,2022-02-10,2022-02-10 10:00:00,2022-02-10 11:00:00
4000448515,2022-02-10,2022-02-10 09:00:00,2022-02-10 10:00:00
4000448900,2022-02-11,2022-02-11 09:00:00,2022-02-11 10:00:00
4000448901,2022-02-11,2022-02-11 10:00:00,2022-02-11 11:00:00
4000448902,2022-02-11,2022-02-11 11:00:00,2022-02-11 12:00:00
4000448904,2022-02-12,2022-02-12 10:00:00,2022-02-12 11:00:00
4000448914,2022-02-12,2022-02-12 11:00:00,2022-02-12 12:00:00
4000449974,2022-02-17,2022-02-17 09:00:00,2022-02-17 10:00:00
